en,fa
Hmm…,هوم…
Mokoji? Is there a problem?,موکوجی؟ آیا مشکلی وجود دارد؟
N… No. There is something wrong about the Black Robes' behavior…,نه... در مورد رفتار روپوش سیاه مشکلی وجود دارد…
Something wrong?,چیزی اشتباه است؟
Why did they not attack us right away with all the monsters they had?,چرا آنها بلافاصله با تمام هیولاهایی که داشتند به ما حمله نکردند؟
Attacking at once is far more efficient that dividing their forces.,حمله به یکباره بسیار کارآمدتر از تقسیم نیروها است.
"Come to think of it, I agree with you.",فکرش را بکن، من با تو موافقم.
"For now, let's focus on reaching the Altar of Courage.",فعلا روی رسیدن به محراب شجاعت تمرکز کنیم.
Okay…,باشه…
"Awesome! Thanks to the great Goni, all the monsters have been defeated!",عالی! به لطف گونی بزرگ، همه هیولاها شکست خورده اند!
Don't be so arrogant. You weren't the only one fighting these monsters.,اینقدر مغرور نباش شما تنها کسی نبودید که با این هیولاها می جنگید.
Okay. Not all of them. Just some of them...,باشه. نه همه آنها. فقط برخی از آنها ...
Something terrible must have happened… Seeing as you're being so humble.,باید اتفاق وحشتناکی رخ داده باشد... با توجه به اینکه شما بسیار متواضع هستید.
"Are you complimenting me, Kethas? Thank you!",داری از من تعریف میکنی کتاس؟ متشکرم!
Fool. That wasn't a compliment.,احمق این تعارف نبود
Wrap it up~ We need to go to a nearby village.,جمعش کن ~ باید به دهکده ای نزدیک برویم.
"After we're done preparing in the village, we should head straight to the Altar of Courage.",پس از اتمام آماده سازی در روستا، باید مستقیماً به سمت محراب شجاعت برویم.
Mokoji? Something wrong?,موکوجی؟ چیزی اشتباه است؟
I keep thinking…,مدام فکر میکنم…
What is it?,چیست؟
Monsters are made with evil magic.,هیولاها با جادوی شیطانی ساخته می شوند.
"When they run out of energy, they become wisps of magic and are returned to Mother Nature.",وقتی انرژی آنها تمام می شود، تبدیل به جادوگری می شوند و به مادر طبیعت بازگردانده می شوند.
"Yes, I'm aware of that. How is it related?",بله، من از آن آگاه هستم. چه ربطی داره؟
"Didn't you see? When we defeated those monsters, they didn't flow away like usual.",ندیدی؟ وقتی ما آن هیولاها را شکست دادیم، آنها مثل همیشه از بین نرفتند.
It's as if their magic had some sort of purpose. They were all going the same way.,گویی جادوی آنها هدفی داشته است. همه به یک سمت می رفتند.
It's like that energy is all going to the same place to be collected.,مثل این است که انرژی همه به یک مکان می رود تا جمع شود.
You're right.,حق با شماست.
"A-ha, this must be the egg.",آ-ها، این باید تخم مرغ باشد.
"However, it's too precious to just hand it over.",با این حال، خیلی باارزش است که فقط آن را تحویل دهید.
If I use its power…,اگر از قدرتش استفاده کنم…
I won't have to bow down to those despicable crows!,من مجبور نیستم در برابر آن کلاغ های حقیر تعظیم کنم!
"I didn’t think you would do this… But I'm still disappointed, Spider Queen.",فکر نمی کردم این کار را انجام دهی... اما من هنوز ناامید هستم، ملکه عنکبوتی.
You! How did you come here!?,شما! چطور اینجا آمدی!؟
We expected you to take this pathetic course of action.,ما از شما انتظار داشتیم که این اقدام رقت انگیز را انجام دهید.
"Hand over the eggs, and I will let you live.",تخم ها را تحویل بده، من به تو اجازه زندگی می دهم.
Who are you to command me!?,تو کی هستی که به من فرمان می دهی!؟
Hmph…! Die!,هومف…! بمیر!
Capturing subject.,گرفتن سوژه
Th-that's?! Nooo!,ث-این؟! نه!
Didn't I just say your actions were all foreseen? We already have a method of dealing with traitors… *Chuckle…*,آیا من فقط نگفتم که اقدامات شما همه پیش بینی شده بود؟ ما قبلاً روشی برای برخورد با خائنان داریم… *خنده…*
You… Despicable crow…,تو… کلاغ حقیر…
Subject captured. How would you like to proceed?,موضوع دستگیر شد. چطور می خواهید ادامه دهید؟
Inject magic.,جادو تزریق کنید.
No!!! Arrrgh!!!,نه!!! اررغ!!!
Nuri…,نوری…
Nuri! Wake up!,نوری! بیدار شو
[There isn't enough time. They'll be here soon.],[زمان کافی نیست. آنها به زودی اینجا خواهند بود.]
"I can fight, too! Everyone is fighting! I can't just…",من هم میتونم بجنگم! همه دارن دعوا میکنن! من نمیتونم فقط…
[Everyone is fighting to save you Nuri.],[همه برای نجات تو می جنگند نوری.]
[I don't know what's behind that light. We might lose everything.],[من نمی دانم پشت آن چراغ چه چیزی است. ممکن است همه چیز را از دست بدهیم.]
There they are! Kill them!,آنجا هستند! آن ها را بکش!
No… I can't do this alone…,نه ... من به تنهایی نمی توانم این کار را انجام دهم ...
"[Yes, you can, Nuri. You're stronger than anyone!]",[بله، می توانی، نوری. تو از هر کسی قوی تر هستی!]
"[Wherever you are, even if you won't be able to find me!]",[هرجا که هستی، حتی اگر نتوانی مرا پیدا کنی!]
[I will! I must…! You…],[من خواهم! من باید…! شما…]
Gasp…!,نفس نفس زدن…!
Nuri?,نوری؟
Huh…?,متعجب…؟
"Dede, what's wrong? Did something happen?",دده چی شده؟ اتفاقی افتاد؟
No? You suddenly got really quiet… Are you tired?,نه؟ ناگهان واقعا ساکت شدی... خسته شدی؟
No… It's nothing…,نه… چیزی نیست…
You seem to be worried about something. Let's continue this after exploring around the Altar of Courage.,به نظر می رسد شما نگران چیزی هستید. اجازه دهید این کار را پس از کاوش در اطراف محراب شجاعت ادامه دهیم.
"Okay, sure…",باشه حتما…
Nuri didn't seem so well back there. Is she worried about something?,نوری در آنجا چندان خوب به نظر نمی رسید. آیا او نگران چیزی است؟
Dede mentioned it in the morning. Nuri's sickness seems to be getting worse.,دده صبح به آن اشاره کرد. به نظر می رسد بیماری نوری بدتر می شود.
Sickness… You mean the headache she had when she first appeared from the Light Pillar?,بیماری... منظورتان سردردی است که او برای اولین بار از ستون سبک ظاهر شد؟
Headache… Maybe she's suffering from some illness we aren't aware of.,سردرد... شاید او از بیماری رنج می برد که ما از آن بی اطلاعیم.
Mokoji said she'll talk to Nuri afterwards. Maybe she'll find something.,موکوجی گفت که بعد از آن با نوری صحبت خواهد کرد. شاید اون چیزی پیدا کنه
"Nuri, close your eyes, and tell me what you see.",نوری چشماتو ببند و بهم بگو چی میبینی
Dragon's egg…,تخم اژدها…
"Big, disgusting dragon's eggs…",تخم های اژدهای بزرگ و نفرت انگیز…
Countless Black Robes… The light… Gasp!,لباس های سیاه بی شمار... نور... نفس نفس زدن!
N-Nuri!,ن-نوری!
My head… It hurts so much…,سرم خیلی درد میکنه…
"Mokoji, did you learn something? What is Nuri suffering from?",موکوجی، چیزی یاد گرفتی؟ نوری از چه رنج می برد؟
I don't think it's a sickness. It seems like a magic aftereffect.,فکر نمیکنم بیماری باشه به نظر یک افترافکت جادویی است.
Magic aftereffect? What is that?,افترافکت جادویی؟ اون چیه؟
"I'm not sure, but I've read about something like that before.",من مطمئن نیستم، اما قبلاً در مورد چنین چیزی خوانده بودم.
People who have protection magic cast on them are prone to show symptoms of amnesia.,افرادی که جادوی محافظتی روی آنها ریخته شده است، مستعد بروز علائم فراموشی هستند.
"Protection magic is often cast alongside strong magic. For example, dimensional teleportation…",جادوی حفاظتی اغلب در کنار جادوی قوی ریخته می شود. به عنوان مثال، انتقال از راه دور بعدی…
"As you know, Nuri came to Ino from a different world.",همانطور که می دانید نوری از دنیای دیگری به اینو آمد.
"Based on these two facts, it seems plausible.",بر اساس این دو واقعیت، قابل قبول به نظر می رسد.
"That's just a guess, though…",هر چند این فقط یک حدس است…
Ugh…,اوه…
N-Nuri. Are you okay?,ن-نوری. حالت خوبه؟
"Don't worry. I'm just a bit dizzy, that's all. Everything is fine.",نگران نباشید. من فقط کمی سرگیجه دارم، همین. همه چیز خوب است.
You are suffering from magic aftereffect. You'll be fine after resting for a while.,شما از افترافکت جادویی رنج می برید. بعد از مدتی استراحت خوب می شوید.
"On the other hand, didn't you mention seeing a huge egg and Black Robes?",از سوی دیگر، آیا به دیدن یک تخم مرغ بزرگ و روپوش سیاه اشاره نکردید؟
"I'm not sure. I'm sure of one thing, though. My head hurts whenever I meet a guardian.",مطمئن نیستم. هر چند از یک چیز مطمئنم. سرم درد می کند هر وقت با قیم ملاقات می کنم.
Maybe the last remaining Guardian of Courage might provide an answer.,شاید آخرین نگهبان شجاعت بتواند پاسخی ارائه دهد.
"I hope so, too… I mean, I'm sure of it!",من هم امیدوارم... یعنی مطمئنم!
We've got enemies occupying the Altar of Courage. It won't be an easy fight.,ما دشمنانی داریم که محراب شجاعت را اشغال کرده اند. مبارزه آسانی نخواهد بود
Kronak must have spread these monsters all around the altar.,کروناک باید این هیولاها را در اطراف محراب پخش کرده باشد.
We should proceed slowly while protecting each other.,ما باید به آرامی پیش برویم و از یکدیگر محافظت کنیم.
Good. I'll show them what the awesome Goni can do!,خوب من به آنها نشان خواهم داد که گونی عالی چه کاری می تواند انجام دهد!
Okay. Everyone! To formation…?,باشه. هر کس! به شکل گیری…؟
Ugh…,اوه…
Nuri?,نوری؟
It's nothing. I'm just a bit dizzy. Carry on.,چیزی نیست. من فقط کمی سرگیجه دارم. ادامه دادن.
Geh heh heh…,هه هه…
Huh? It's the Spider Queen we met before!,متعجب؟ این ملکه عنکبوتی است که قبلاً با آن آشنا شده بودیم!
Geh heh heh… Kill…,هه هه هه… بکش…
Kill…,کشتن…
Hmm? Something's wrong with that thing.,هوم؟ یه چیزی با اون چیز مشکل داره
Kill… Kill… All…,بکش… بکش… همه…
The power of darkness! *Gasp!*,قدرت تاریکی! *نفس!*
Geh heh heh… Erase the light!,هه هه هه... نور را پاک کن!
Kill the disciple!,مرید را بکش!
"Whatever that is, that spider has become a real threat!",هر چه هست، آن عنکبوت تبدیل به یک تهدید واقعی شده است!
Geh heh heh…,هه هه…
"Nuri, are you okay?",نوری حالت خوبه؟
I'm fine. I can't fall before meeting the guardian…,من خوبم. من نمی توانم قبل از ملاقات با نگهبان زمین بخورم…
And I've got to get my memories back!,و من باید خاطراتم را برگردانم!
Everyone! Get ready!,هر کس! آماده شدن!
Let's deal with that ugly insect!,بیایید با آن حشره زشت مقابله کنیم!
The monsters are running away! We won!,هیولاها فرار می کنند! ما بردیم!
All that's left to do is to meet the guardian at the altar.,تنها کاری که باید انجام دهید این است که با نگهبان در محراب ملاقات کنید.
What? What's happening?,چی؟ چه اتفاقی می افتد؟
It must be the sign of the Lightning Dragon. The Guardian of Courage is awakening.,باید نشانه اژدهای رعد و برق باشد. نگهبان شجاعت در حال بیداری است.
"[Well done, travelers of courage. I've been waiting for you.]",[آفرین، مسافران شجاع. منتظرت بودم.]
Guardian of Courage. Ino is currently in danger and is attacked by followers of darkness.,نگهبان شجاعت. اینو در حال حاضر در خطر است و توسط پیروان تاریکی مورد حمله قرار می گیرد.
"They are trying to resurrect Darknix, the Guardian of Darkness.",آنها در حال تلاش برای احیای دارکنیکس، نگهبان تاریکی هستند.
"Please lend us your power, and tell us how to defeat the darkness.",لطفاً قدرت خود را به ما قرض دهید و به ما بگویید چگونه تاریکی را شکست دهیم.
"[Darknix, the Guardian of Darkness.]",[دارکنیکس، نگهبان تاریکی.]
[Its overwhelming power couldn't be defeated by anyone.],[قدرت طاقت فرسا آن را هیچکس نمی‌توان شکست داد.]
"[Only the Guardian of Light, whom we worship, can defeat the Demon God.]",[فقط نگهبان سبک، که ما او را می پرستیم، می تواند خدای شیطان را شکست دهد.]
"[Pilgrims of endless wisdom, unflinching faith, and burning courage.]",[زائران خرد بی پایان، ایمان تزلزل ناپذیر، و شجاعت سوزان.]
[We guardians will lend you our powers when the world is being consumed by the darkness.],[ما نگهبانان قدرت خود را به شما قرض می دهیم زمانی که جهان در تاریکی فرو می رود.]
"[However, our powers alone won't be enough to defeat Darknix.]",[با این حال، قدرت های ما به تنهایی برای شکست دارکنیکس کافی نخواهد بود.]
Then…?,سپس…؟
"[Don't give up yet, being from another world.]",[هنوز تسلیم نشوید، از دنیای دیگری هستید.]
"[When your memories return, you will know the true meaning of my words.]",[وقتی خاطراتت برگردند، معنای واقعی سخنان من را می دانی.]
[But we will need to take care of something first.],[اما ابتدا باید به چیزی رسیدگی کنیم.]
"[One with infinite wisdom, ask me your questions.]",[یکی با خرد بی نهایت، سوالاتت را از من بپرس.]
Huh? Me?,متعجب؟ من؟
"Questions? Mokoji, is there something we should know?",سوالات؟ موکوجی، چیزی هست که باید بدانیم؟
Umm… I witnessed monsters' magic flowing toward somewhere.,اوم... من شاهد جادوی هیولاها بودم که به سمت جایی می رفتند.
Magic? It didn't just flow away to nature?,شعبده بازي؟ فقط به طبیعت سرازیر نشد؟
That… Doesn't make sense…,که… منطقی نیست…
"[I sense a heartbeat of formidable magic. However, it isn't whole yet.]",[من ضربان قلب جادویی مهیب را حس می کنم. با این حال، هنوز کامل نیست.]
"[Although it's still weak, a life containing the Guardian of Darkness is being born.]",[اگرچه هنوز ضعیف است، زندگی حاوی نگهبان تاریکی در حال تولد است.]
The Guardian of Darkness? You mean Darknix??,نگهبان تاریکی؟ منظورت دارکنیکس؟؟
[No. The Guardian of Darkness doesn't use such feeble magic.],[خیر نگهبان تاریکی از چنین جادوی ضعیفی استفاده نمی کند.]
Then what is it? Where is the magic flowing toward?,بعدش چیه؟ جادو به سمت کجا جریان دارد؟
"[That is still not known to me. However, I do sense a dark power of hatred.]",[این هنوز برای من شناخته شده نیست. با این حال، من قدرت تاریک نفرت را احساس می کنم.]
[Pilgrims of light. Find out what the source of this power is.],[زائران نور. دریابید که منبع این قدرت چیست.]
"[After it's done, us guardians will assist you.]",[پس از انجام آن، ما نگهبانان به شما کمک خواهیم کرد.]
The Guardian of Courage is gone.,نگهبان شجاعت رفته است.
"Mokoji, we should follow the flow of magic for now.",موکوجی، فعلاً باید جریان جادو را دنبال کنیم.
"Yes, I agree. I will try my best to track it down.",بله موافقم. تمام تلاشم را می کنم تا آن را پیگیری کنم.
Good! Let's all try our best!,خوب! بیایید همه تلاش خود را بکنیم!
Magic injection 90% complete.,تزریق جادویی 90 درصد کامل شده است.
It'll be done soon. That was worth the effort.,به زودی انجام می شود این ارزش تلاش را داشت.
Warning. Multiple intruders detected.,هشدار. چندین متجاوز شناسایی شد
Entering before the store is open… Customers these days are so ill-mannered…,ورود قبل از باز شدن فروشگاه… مشتریان این روزها خیلی بد اخلاق هستند…
"We met all the guardians, but we have even more questions…",ما با همه نگهبانان ملاقات کردیم، اما سوالات بیشتری داریم…
"Also, nothing happened.",همچنین هیچ اتفاقی نیفتاد.
Even after all the guardians were summoned…,حتی بعد از احضار تمام سرپرستان…
Is there something wrong?,مشکلی وجود دارد؟
No. The prophet's prophecies are never wrong.,نه، پیشگویی های پیامبر هرگز اشتباه نیست.
Maybe it's not the time yet.,شاید هنوز وقتش نرسیده
Time…? That just sounds like an excuse.,زمان…؟ این فقط یک بهانه به نظر می رسد.
I agree with Goni. Even after summoning all these guardians...,من با گونی موافقم حتی پس از احضار همه این قیم...
"we didn't get any answers, and now, a bigger crisis is on our hands.",ما هیچ پاسخی دریافت نکردیم و اکنون، بحران بزرگتری در دستان ما است.
All the guardians mentioned that Nuri is holding the key from the prophecy.,همه اولیاء ذکر کردند که نوری کلید نبوت را در دست دارد.
"The thing is, our ""key"" doesn't seem to remember anything.","مسئله این است که به نظر می رسد ""کلید"" ما چیزی را به خاطر نمی آورد."
"We don't understand the Guardian's warnings, and the prophecy isn't being realized.",ما هشدارهای نگهبان را نمی‌فهمیم و این پیش‌گویی محقق نمی‌شود.
Hmm…,هوم…
You're all here!,همه شما اینجا هستید!
"Mokoji, where have you…?",موکوجی، کجا داری…؟
You look like a rookie from a mile away!,شما از یک مایلی دورتر شبیه یک تازه کار هستید!
What!?,چی!؟
"He's my master, Doorn. He's the brightest magic engineer in Mahaim.",او استاد من است، دورن. او باهوش ترین مهندس جادو در Mahaim است.
"What? This mean, old man?",چی؟ این یعنی پیرمرد؟
Hmm… Whatever…,هوم… هر چی…
"But still, take back what you said!",اما باز هم حرفی که زدی را پس بگیر!
"Kids, these days… They don't have any sense of humor!",بچه ها، این روزها... آنها هیچ حس شوخی ندارند!
It wasn't funny…,خنده دار نبود…
Ha! Such fun!,ها! چنین سرگرم کننده!
"Mokoji, why did you bring him here?",موکوجی، چرا او را به اینجا آوردی؟
"To get help, of course! To overcome this crisis!",البته برای کمک گرفتن! برای عبور از این بحران!
Hmm… Is that so… My pupil is right.,هوم... آیا اینطور است... شاگرد من درست می گوید.
What do you mean?,منظورت چیه؟
It's just as Mokoji said. The magic from monsters is flowing to a certain direction.,درست همانطور که موکوجی گفت. جادو از هیولاها به سمت خاصی در جریان است.
It's just as the Guardian of Courage said. A new life is being born.,درست همانطور که نگهبان شجاعت گفته است. زندگی جدیدی در حال تولد است.
Is the magic being used to awaken the Guardian of Darkness?,آیا از جادو برای بیدار کردن نگهبان تاریکی استفاده می شود؟
"I might not be as wise as guardians, but I'm also not stupid.",من ممکن است به اندازه نگهبانان عاقل نباشم، اما احمق هم نیستم.
This amount of magic is not enough to awaken the Guardian of Darkness.,این مقدار جادو برای بیدار کردن نگهبان تاریکی کافی نیست.
Strange. The Black Robes' goal is to resurrect Darknix.,عجیب. هدف The Black Robes احیای دارکنیکس است.
They have an ulterior motive? Maybe there's infighting?,آنها انگیزه پنهانی دارند؟ شاید درگیری داخلی وجود داشته باشد؟
"Perhaps. Anyway, we should do what we can.",شاید. به هر حال ما باید هر کاری از دستمان بر می آید انجام دهیم.
Mokoji~? Did you make the preparations like I told you?,موکوجی ~؟ آیا همان طور که به شما گفتم مقدمات را انجام دادید؟
"Yes. I analyzed the flowing magic, and the device you mentioned is ready.",آره. من جادوی جاری را آنالیز کردم و دستگاهی که گفتید آماده است.
"Mokoji, what is that device?",موکوجی، آن دستگاه چیست؟
"It's a magic engineering device that can track down magic. With this, we'll be able to find out where it's headed.",این یک دستگاه مهندسی جادویی است که می تواند جادو را ردیابی کند. با این، ما می توانیم بفهمیم که به کجا می رود.
"If we follow it, we'll reach where the magic is being gathered.",اگر آن را دنبال کنیم، به جایی می رسیم که جادو جمع شده است.
"Hmm? So, the dangerous being the guardian mentioned should be there?",هوم؟ پس آن موجود خطرناکی که قیم ذکر شده باید آنجا باشد؟
You're sharper than I thought. You are correct. All we have to do is follow the flow of magic.,تو تیزتر از اونی هستی که فکر میکردم شما درست می گویید. تنها کاری که باید انجام دهیم این است که جریان جادو را دنبال کنیم.
Then let's get moving. It is of utmost importance that we put on end to their schemes.,سپس بیایید حرکت کنیم. این بسیار مهم است که ما به طرح های آنها پایان دهیم.
Agreed! Let's overcome this by working together!,موافق! بیایید با همکاری یکدیگر بر این موضوع غلبه کنیم!
The target is approaching. Danger level increasing. Select a response.,هدف نزدیک می شود. افزایش سطح خطر یک پاسخ را انتخاب کنید.
"It doesn't matter, but where's the fun in doing nothing? Destroy all pathways.",مهم نیست، اما لذت انجام هیچ کاری کجاست؟ تمام مسیرها را نابود کنید
Carrying out orders. Pathways destroyed.,انجام سفارشات. مسیرها تخریب شده است.
It's definitely strange…,قطعا عجیب است…
What's on your mind?,چه چیزی در ذهن شماست؟
"Goni, all the kingdoms were watching the Black Robes' movements very closely.",گونی، همه پادشاهی ها از نزدیک حرکات لباس سیاه را تماشا می کردند.
The strange way the magic behind the monsters is acting...,نحوه عملکرد عجیب جادوی پشت هیولاها...
Only outstanding magic engineers like Mokoji and Doorn were able to detect it.,فقط مهندسان برجسته جادوگر مانند Mokoji و Doorn توانستند آن را تشخیص دهند.
"However, if that much magic is being gathered, the priests and priestesses of light would definitely have noticed",با این حال، اگر این مقدار جادو جمع آوری شود، کاهنان و کاهنان نور قطعا متوجه می شدند.
You never know. Maybe there's a traitor among the priests.,شما هرگز نمی دانید. شاید در بین کشیش ها خائنی وجود داشته باشد.
Don't insult us! We could never become corrupted!,به ما توهین نکن! ما هرگز نمی توانستیم فاسد شویم!
Calm down. It's just a guess. I agree with you.,آرام باش. این فقط یک حدس است. من با شما موافقم.
"However, only a fool would miss such a large gathering of magic.",با این حال، فقط یک احمق است که چنین گردهمایی بزرگی از جادو را از دست می دهد.
"Master, maybe the being we are looking for is hiding someplace else.",استاد، شاید موجودی که ما به دنبالش هستیم در جای دیگری پنهان شده باشد.
What do you mean? Someplace else?,منظورت چیه؟ جای دیگری؟
She might be correct. Distorting space itself to create another space will make it pretty easy to hide the flow of magic.,شاید درست میگه تحریف فضا برای ایجاد فضای دیگر، پنهان کردن جریان جادو را بسیار آسان می کند.
"If so, it would be difficult to detect unless you are a guardian.",اگر چنین است، تشخیص آن دشوار خواهد بود مگر اینکه قیم باشید.
"If that's true, it is no wonder that the priests weren't able to detect it.",اگر این درست باشد، جای تعجب نیست که کشیش ها قادر به تشخیص آن نبودند.
"Then, we have no choice but to follow the flow of monster's magic with the magic layer.",سپس، چاره ای نداریم جز اینکه با لایه جادو، جریان جادوی هیولا را دنبال کنیم.
"Then, we'll reach the place where the door to another space is.",سپس به جایی می رسیم که درب فضای دیگری است.
Good thinking! Alitia's Dragon Tamer is on another level! That is correct!,فکر خوب! Alitia's اژدها رام کننده در سطح دیگری است! این صحیح است!
"Ah! Also, the door's size will be different based on the source of magic.",آه! همچنین اندازه درب بر اساس منبع ماژیک متفاوت خواهد بود.
"You're saying… as we defeat stronger monsters, it'll be easier to see the door?",شما می گویید... همانطور که ما هیولاهای قوی تر را شکست می دهیم، دیدن در آسان تر خواهد بود؟
Yes! You have a lot of work ahead of you. I'm just a weak old engineer.,آره! شما کار زیادی در پیش دارید. من فقط یک مهندس قدیمی ضعیف هستم.
What the…?,چه…؟
Is someone bad mouthing me?,آیا کسی به من بد می گوید؟
Not at all. It was an apt description.,اصلا. توصیف مناسبی بود
Come on! We don't have much time!,بیا دیگه! وقت زیادی نداریم!
But… Are you sure this will work?,اما ... آیا مطمئن هستید که این کار خواهد کرد؟
"Are you… doubting the genius, magic engineer Doorn?",آیا به نابغه، مهندس جادو، دورن شک دارید؟
Why don't we skip that title? You're a self-proclaimed genius.,چرا از آن عنوان نمی گذریم؟ شما یک نابغه خودخوانده هستید.
It's not self-proclaimed. I actually am the best magic engineer in Mahaim.,این خودخوانده نیست. من در واقع بهترین مهندس جادو در Mahaim هستم.
"Kethas, what are you thinking?",کتاس، به چی فکر می کنی؟
"I mean… The solution seems a bit… rough, for the most brilliant magic engineer.",منظورم این است که... راه حل برای باهوش ترین مهندس جادو، کمی خشن به نظر می رسد.
"You just don't like Doorn, that's all.",تو فقط از دورن خوشت نمیاد، همین.
What?,چی؟
Am I wrong? Whatever.,آیا من اشتباه می کنم؟ هر چه.
Hmph. I don't like sharp kids who notice things.,Hmph من از بچه های تیزبینی که متوجه چیزها می شوند خوشم نمی آید.
"There is a better way, of course.",البته راه بهتری هم هست.
But we're trying the simpler methods first.,اما ابتدا روش های ساده تری را امتحان می کنیم.
Wait! Why aren't we trying better methods first?,صبر کن! چرا ابتدا روش های بهتری را امتحان نمی کنیم؟
Isn't it obvious? It's because I can't be bothered to do so!,واضح نیست؟ دلیلش اینه که حوصله این کار رو ندارم!
Wha…?!,چی…؟!
Huh…?!,متعجب…؟!
"You old, piece of...!",ای پیر، تکه ای از...!
Calm down everyone. Let's follow what he says for now.,همه را آرام . بیایید فعلاً آنچه او می گوید دنبال کنیم.
There's no harm in trying out different things.,امتحان کردن چیزهای مختلف ضرری ندارد.
"Agreed. First, let's defeat some monsters to find the door.",موافقت کرد. اول، بیایید چند هیولا را شکست دهیم تا در را پیدا کنیم.
We haven't witnessed how magic flows through the door yet.,ما هنوز ندیده ایم که چگونه جادو از در می گذرد.
If Nuri says so…,اگر نوری اینطور بگوید…
"Yeah, Kethas~ I'm having a hard time working with your feeble brain~",آره کتاس ~ من کار سختی با مغز ضعیف تو دارم ~
"Oh, goodness! Shut your mouth!",اوه خدایا! دهنتو ببند!
Please… Somebody stop those two…,لطفا… یکی جلوی این دوتا رو بگیره…
If all monsters have different amounts of magic in them…,اگر همه هیولاها مقادیر متفاوتی از جادو در خود دارند…
It must be helpful to find the biggest one?,برای پیدا کردن بزرگترین مورد باید مفید باشد؟
"I think so, too. Let's find a big monster first.",من هم همینطور فکر می کنم. بیایید اول یک هیولای بزرگ پیدا کنیم.
You needn't bother.,نیازی به زحمت نیست
"Doorn, where have you…?",در، کجا داری…؟
Wh-what is that?,-اون چیه؟
Human. Intruder. Destroy.,انسان. مزاحم. از بین رفتن.
Destroy. Eliminate. Kill.,از بین رفتن. از بین بردن. بکش
Thank me later. I've brought the monsters myself.,بعدا از من تشکر کن. من خودم هیولاها را آورده ام.
Everyone! Get ready!,هر کس! آماده شدن!
Let's defeat them to find the door!,بیایید آنها را شکست دهیم تا در را پیدا کنیم!
Power… Lost…,قدرت… از دست رفته…
Look! The monster's magic! It's flowing throw a dark opening!,نگاه کن جادوی هیولا! در حال جریان است پرتاب یک دهانه تاریک!
That must be it! That's the door to another space!,باید همین باشد! این دری به فضای دیگری است!
Everyone! Go through the opening!,هر کس! از دهانه عبور کنید!
Target acquired. Confirming…,هدف به دست آمده است. در حال تایید…
What is that thing?,آن چیز چیست؟
"Name… Goni… Apprentice Dragon Tamer. Danger level, low.",نام… گونی… شاگرد اژدها رام کننده. سطح خطر، کم.
Huh? An intelligent magic engineering device! This is amazing!,متعجب؟ یک دستگاه مهندسی جادوی هوشمند! این شگفت انگیز است!
"Name… Doorn, the best magic engineer. A strange loner. Boasts too much. No friends. Danger level, medium.",نام... دورن، بهترین مهندس جادو. یک تنهایی عجیب بیش از حد به خود می بالد. بدون دوستان سطح خطر، متوسط.
What? I don't want any friends in the first place!,چی؟ من در وهله اول هیچ دوستی نمی خواهم!
"Tomato, tomata…",گوجه فرنگی، گوجه فرنگی…
"Name… Mokoji, magic engineer. Meaningful records not present.",نام… موکوجی، مهندس جادو. سوابق معنی دار وجود ندارد.
50% of intruders analyzed. Continuing analysis…,50 درصد از مزاحمان تجزیه و تحلیل شدند. ادامه تحلیل…
The machine seems to be correct… Although it's really getting on my nerves…,به نظر می رسد دستگاه درست است ... اگرچه واقعاً اعصابم را به هم می زند ...
"Name… Kethas, the youngest Dragon Tamer from Elpis. Danger level, high.",نام… Kethas، جوانترین رام کننده اژدها از Elpis. سطح خطر، بالا.
"It knows everything about us! Yes, I don't like this machine.",همه چیز را در مورد ما می داند! بله، من این دستگاه را دوست ندارم.
"Name… Dede, a priestess of Weidel. Danger level, high.",نام… دده، کشیش وایدل. سطح خطر، بالا.
"Analysis complete. Pathway destruction in three, two, one…",تحلیل کامل شد تخریب مسیر در سه، دو، یک…
Something dangerous is coming! Everyone! Hide!,چیزی خطرناک در راه است! هر کس! پنهان شدن!
*Cough…* Was that machine made by Black Robes?,*سرفه…* آیا آن دستگاه توسط Black Robes ساخته شده بود؟
"I'm not sure, but it was an awesome encounter for a magic engineer!",من مطمئن نیستم، اما این یک برخورد عالی برای یک مهندس جادو بود!
"Save your meaningless words for later, and tell us what to do like an actual engineer!",کلمات بی معنی خود را برای بعد حفظ کنید و به ما بگویید که مانند یک مهندس واقعی چه کنیم!
Such a temper…,چنین خلق و خوی…
Don't you know the engineers' saying? Unhappiness is just the shadow of happiness?,حرف مهندسان را نمی دانید؟ بدبختی فقط سایه خوشبختی است؟
No. Whose words are those?,نه. این کلمات کیست؟
"Ahem, mine, of course! The best magic engineer there ever was!",آها، مال من، البته! بهترین مهندس جادویی که تا به حال وجود داشته است!
Why did I even ask…?,اصلا چرا پرسیدم…؟
"Doorn, we can't wait any longer. Tell us what to do.",در، ما نمی توانیم بیشتر از این صبر کنیم. به ما بگویید چه کنیم.
Of course. Mokoji! Show them what you've brought.,البته. موکوجی! به آنها نشان دهید که چه چیزی آورده اید.
"Yes, Master. Here it is.",بله استاد. ایناهاش.
What is this device?,این دستگاه چیست؟
"This ""device"", is Doorn's masterpiece called ""Doorn's Dimensional Lens."" It can distort the very essence of time and space.","این ""دستگاه"" شاهکار دورن به نام ""عدسی بعدی Doorn's Dimensional Lens"" است. می تواند ماهیت زمان و مکان را مخدوش کند."
