zh-CN,zu
我才不要这种小事吵架呢！,Bengingayifuni le mpi encane!
每隔一段时间，所有盟友造成的伤害就会累积增加。每{1}秒增加{2} %，最多可叠加{3}次。,"Ngaso sonke isikhathi esithile, umonakalo owenziwe yibo bonke ababambisene nawo ukhula ngendlela efanayo. Inyuka ngo- {2}% njalo ngemizuzwana {1} , futhi inganqwabelana kufika ezikhathini ezingu- {3} ."
每隔一定时间，攻击所有敌人，并增加拖拽技能的重复使用时间{1}秒。力量与你的最大生命值成正比。该攻击从战斗一开始就触发。,"Njalo ngesikhathi esithile, ihlasela zonke izitha futhi ikhulise isikhathi sokusebenzisa kabusha ikhono lokuhudula ngamasekhondi angu- {1} . Amandla alingana nempilo yakho ephezulu. Lokhu kuhlasela kuqalwe kusukela ekuqaleni kwempi."
战斗开始时，保护防御力最低的{1}名盟友并在其位置受到伤害，持续{2}秒。此外，将您自己受到的伤害减少{3}%，并将您收到的治疗量增加{4}%。,"Ekuqaleni kwempi, vikela {1} umfelandawonye ngokuzivikela okuphansi futhi uthole umonakalo endaweni yawo imizuzwana engu- {2} . Ukwengeza, yehlisa umonakalo otholwe uwena ngo- {3}% futhi ukhuphule inani lokuphulukiswa okutholayo ngo- {4}%."
从战斗开始算起，你将获得 100 秒的冷却时间。你将对敌人造成强大的伤害并沉没世界。攻击的强度与你的最大生命值成正比。,Uzothola isikhathi se-cooldown semizuzwana eyi-100 kusukela ekuqaleni kwempi. Uzodala umonakalo onamandla esitheni futhi ucwilise umhlaba. Amandla okuhlasela alingana nempilo yakho ephezulu.
你有得到什么好东西吗？,Ingabe uthole okuthile okuhle?
地狱之王,Inkosi yesihogo
地狱之王的骄傲,Inkosi Yesihogo Ukuziqhenya
真心不想搬家。,Angifuni ngempela ukunyakaza ngobuqotho.
我想就这样休息一辈子。,Ngingathanda ukuphumula kanje impilo yami yonke.
骄傲的皮肤,Ukuziqhenya Isikhumba
镜像世界米拉塔斯皮肤,I-Mirror World Milatas Skin
威德尔节套餐1,I-Weidel Festival Package 1
威德尔节套餐2,I-Weidel Festival Package 2
威德尔节套餐3,I-Weidel Festival Package 3
地狱之王骄傲皮肤,Inkosi Yesihogo Ukuziqhenya Isikhumba
,
,
,
,
已完成的每日任务的额外奖励将在购买后立即通过邮件发送。\n这不适用于每日任务活动或活动中的每日任务的奖励。,Imiklomelo eyengeziwe yezimfuno zansuku zonke eseziqediwe izolethwa ngokushesha ngemeyili lapho ithengiwe.\nLokhu akusebenzi emiklomelweni yemicimbi yansuku zonke noma izimfuno zansuku zonke ngaphakathi kwemicimbi.
每隔一段时间，它会攻击所有敌人，并使目标拖动技能的重复使用时间增加{1}秒。\n威力与你的最大生命值成正比。\n此攻击从战斗开始时激活。,"Njalo ngesikhathi esithile, ihlasela zonke izitha futhi ikhulise isikhathi sokuphinda isetshenziswe ikhono lokuhudula eliqondiwe ngamasekhondi angu- {1} .\nAmandla alingana nempilo yakho ephezulu.\nLokhu kuhlasela kwenziwa kusebenze kusukela ekuqaleni kwempi."
,
,
输入{1}~{2} 位优惠券号码。,Faka inombolo yekhuphoni engu- {1}~{2}.
请输入{1}~{2} 位优惠券号码。,Sicela ufake inombolo yekhuphoni engu- {1}~{2}-amadijithi.
用最伟大、最神圣的光芒造成伤害。该攻击自身的攻击强度获得{1}% 的加成，并且每次命中有{2}% 的几率使目标防御力降低{3}秒。技能结束时，目标的防御力降低效果全部消除。,"Idala umonakalo ngokukhanya okukhulu kakhulu nokungcwele kakhulu. Lokhu kuhlasela kuthola {1}% ibhonasi emandleni ako okuhlasela, futhi kunethuba elingu- {2}% ngokushaya ngakunye ukuze kuncishiswe ukuzivikela kwalowo oqondiswe kuye ngamasekhondi angu- {3} . Lapho ikhono liphela, yonke imiphumela yokunciphisa ukuvikela yalowo oqondiwe iyasuswa."
【契约诅咒】有{1}%的几率分别发动以下效果。如果处于[疯狂]状态，则有{3}%的几率激活。 \n- 剩余冷却时间减少 20 秒。 \n- 获得{2}法力。 ,"[Isiqalekiso Senkontileka] sinethuba elingu- {1}% lokwenza imiphumela elandelayo isebenze ngokulandelana. Uma kusimo [sokuhlanya], inethuba elingu- {3}% lokuyivula. \n- Yehlisa isikhathi sokupholisa esisele ngamasekhondi angu-20. \n- Ithola i- {2} mana. "
每次攻击都会对敌人造成随机伤害。其威力根据其攻击速度而增加，并有{2}% 的几率降低目标的暴击回避率，持续{3}秒。,"Ngokuhlasela ngakunye, kubangela ukulimala okungahleliwe esitheni. Amandla ayo akhuphuka ngokuya ngesivinini sayo sokuhlasela futhi inethuba elingu- {2}% lokunciphisa ukugwema okuqondiwe okubalulekile amasekhondi angu- {3} ."
您可以通过玩游戏，根据活动页面列出的条件获得投票权。,Ungathola amalungelo okuvota ngokuya ngemibandela esohlwini lwekhasi lomcimbi ngokudlala umdlalo.
梦着向我报仇！,Iphupho lokuziphindiselela kimi!
你的报复实在是毫无价值。,Ukuziphindiselela kwakho kuyize ngempela.
请选择一条龙。,Sicela ukhethe udrako.
排名页面显示的排名顺序可能会因服务器而异。,I-oda lezinga eliboniswe ekhasini lezinga lingahluka ngeseva.
黑暗魔法的愤怒并未停止……鲜血的复仇开始了！,Ulaka lwemilingo emnyama alupheli... impindiselo yegazi iyaqala!
燃烧身体可能会很痛苦，但却可以带来力量。,"Ukutshisa umzimba womuntu kungase kube buhlungu, kodwa kungaholela emandleni."
座狼,Vargr
座狼（黑暗）,I-Vargr (Kumnyama)
请接受奖励。,Sicela wamukele umvuzo.
你就不怕报复吗？,Awukwesabi ukuziphindiselela?
你曾经梦想过复仇吗？我总是梦想着复仇。,Wake waphupha ukuziphindiselela? Ngihlale ngiphupha ukuziphindiselela.
我们要追寻复仇的力量吗？,Ingabe kufanele siphishekele amandla okuziphindiselela?
不必要的能量已经积累。,Amandla angenasidingo anqwabelene.
看来新芽已经开始生长了。它可以变得更强。,Kubukeka sengathi ihlumela seliqalile ukukhula. Ingase ibe namandla.
您想为选定的龙投票吗？,Ungathanda ukuvotela udrako okhethiwe?
看起来像是一场微不足道的死亡。,Kubukeka sengathi ukufa okuncane.
龙人气投票奖励,I-Mythic Dragon Popularity Vote Umvuzo
热门神话龙排名投票第1-5名。您可以在未来的概率上升活动中遇到这些龙。,Izinga lama-Mythical Dragons avotelwe ngo-1-5. Ungahlangana nalawa ma-Dragons kumcimbi ongase ube khona esikhathini esizayo.
如果你喜欢战斗，就有足够的理由在一起。,"Uma uthanda ukulwa, kunesizathu esanele sokuba ndawonye."
啊，我感受到了死亡的力量。,"Ah, ngiyawezwa amandla okufa."
用邪恶之力燃烧的魔剑攻击敌人。攻击的威力会根据攻击者的速度大幅增加。\n对于目标施加的每一个有害效果，威力都会增加{2}%（最高为{3}%）。,"Uhlasela isitha ngenkemba kadeveli evuthayo egunyazwe ububi. Amandla okuhlasela akhula kakhulu kuye ngesivinini somhlaseli.\nKumphumela ngamunye oyingozi osetshenziswa kokuqondiwe, amandla anyuka ngo- {2}% (kufika ku- {3}%)."
邪恶的力量在召唤我。,Amandla omubi ayangibiza.
我想在黑暗中多待一会儿……,Bengifuna ukuhlala ebumnyameni isikhashana...
难道你没有感觉到黑暗吗？有人梦想着复仇。,Awubuzwa ubumnyama? Umuntu uphupha eziphindiselela.
请让我尽快感受到死亡吧！,Ngicela ungenze ngizwe ukufa maduze!
为什么你只是站在那儿无力地看着？,Kungani umile nje untekenteke uyabuka?
我不能总是做正确的事。,Angikwazi njalo ukwenza okufanele.
看这里，往这个方向看！,"Bheka ngapha, ngapha!"
即使做错事也会变得愉快。,Ngisho nokwenza okuthile okungalungile kungase kujabulise.
这样的感觉弥漫开来……不可原谅！,Umuzwa onjalo uyahamba... Awuxoleleki!
哦不，这只是一颗脆弱的心。,"Hhayi bo, yinhliziyo ebuthakathaka kuphela lapha."
人气排名计算将在活动结束后汇总全服投票结果来最终确定。,Isibalo sezinga lokuduma sizophothulwa ngokuhlanganisa yonke imiphumela yokuvota yeseva ngemva kokuphela komcimbi.
大众投票,Ivoti elidumile
龙概率从第一名升级到第五名的人气投票活动即将举行！,Umcimbi wevoti odumile wokuthuthukiswa kwamathuba e- Dragon usuka endaweni yokuqala ukuya kweyesi-5 uhlelelwe ukuba wenzeke!
请稍后重试。,Sicela uzame futhi ngemva kwesikhashana.
我有预感，有什么有趣的事情要发生了。,Nginomuzwa wokuthi kukhona okujabulisayo okuzokwenzeka.
战斗开始时，激活技能“[契约诅咒]”会重置冷却时间，并获得“{1}”的效果，持续一秒。 “{1}”是[疯狂]的效果，它使攻击力增加{2}%，并使使用者免疫所有有害效果。然而，任何现有的有害影响都不会消除。,"Ekuqaleni kwempi, ukwenza kusebenze ikhono elithi ""[Curse of the Contract]"" kusetha kabusha ukupholisa kwalo futhi kunikeza umphumela we-""{1}"" umzuzwana owodwa. I-""{1}"" iwumphumela [wokuhlanya] okwandisa amandla okuhlasela ngo- {2}%, futhi kwenza umsebenzisi avikeleke kuyo yonke imiphumela eyingozi. Nokho, noma yimiphi imiphumela eyingozi ekhona ngeke isuswe."
尝尝死亡的滋味吧！,Nambitha ukunambitheka kokufa!
如果不是死亡，那就没有必要。,"Uma kungekona ukufa, akudingekile."
到目前为止，您已投票{1}次！,"Kuze kube manje, usuvote izikhathi ezingu- {1} !"
持续时间增加 10 秒,Ubude besikhathi bukhuphuke ngamasekhondi angu-10
持续时间增加 20 秒,Ubude besikhathi bukhuphuke ngamasekhondi angu-20
持续时间增加 30 秒,Ubude besikhathi bukhuphuke ngamasekhondi angu-30
持续时间增加 40 秒,Ubude besikhathi bukhuphuke ngamasekhondi angu-40
卡卡卡！我的身体已经开始燃烧了！,Kakaka! Umzimba wami usuqalile ukuvutha!
初光召唤卷轴 X15,Ukubiza umqulu we-First Ukukhanya X15
投票奖励,umvuzo wokuvota
通过投票权，进行投票时提供奖励并获得投票收益。,"Ngelungelo lokuvota, kunikezwa imiklomelo kanye nenzuzo yokuvota lapho kuvotwa."
投票权还不够。,Ilungelo lokuvota alanele.
投票,ukuvota
去投票,Hamba uyovota
血之刃,Igazi Legazi
您一次最多可以投票给 5 名候选人。,Ungavotela amakhandidethi afinyelela kwayi-5 ngesikhathi esisodwa.
获得投票奖励,Umklomelo wokuvota otholiwe
龙人气投票,I-Mythic Dragon Popularity Vote
原古代神龙、莱斯洛、座狼将被排除在全民投票之外。,"I-Origin UNkulunkulu Dragon, i-Leslo, i-Vargr izokhishwa evotini elidumile."
【契约诅咒】有{1}%的几率分别发动以下效果。如果处于[疯狂]状态，则有{3}%的几率激活。 \n- 剩余冷却时间减少 20 秒。 \n- 获得{2}法力。 \n- 增加你的攻击力，持续15秒,"[Isiqalekiso Senkontileka] sinethuba elingu- {1}% lokwenza imiphumela elandelayo isebenze ngokulandelana. Uma kusimo [sokuhlanya], inethuba elingu- {3}% lokuyivula. \n- Yehlisa isikhathi sokupholisa esisele ngamasekhondi angu-20. \n- Ithola i- {2} mana. \n- Nyusa i-ATK yakho ngamasekhondi ayi-15"
契约的诅咒,Isiqalekiso Senkontileka
契约的诅咒+,Isiqalekiso Senkontileka+
疯狂,Umsangano
战斗开始时，[契约诅咒]技能的冷却时间重置，留出1秒，并赋予[疯狂]效果，持续{1}秒。 {@yellow}[疯狂] {@SKILL_DESC}：攻击强度提高{2}%，并且免疫所有有害效果。此效果不会消除任何现有的有害影响。,"Ekuqaleni kwempi, ukupholisa phansi kwekhono [Isiqalekiso Senkontileka] kumiswa kabusha kushiye isekhondi elingu-1 futhi kunikeza umphumela [Ubuhlanya] isekhondi elingu- {1} . {@yellow}[Madness] {@SKILL_DESC}: Inyusa amandla okuhlasela ngo- {2}%, futhi ivikeleka kuyo yonke imiphumela eyingozi. Lo mphumela awususi noma yimiphi imiphumela eyingozi ekhona."
龙人气投票排行榜,I-Mythic Dragon Popularity Vote Ranking
有投票权投票给最喜欢的龙。,Ukuvota ilungelo lokuvotela udrako oyintandokazi.
投票权,ilungelo lokuvota
1个投票权,1 ilungelo lokuvota
自动补充1个投票权,Gcwalisa ngokuzenzakalela ilungelo lokuvota elingu-1
每获得一份投票权，即可从投票奖励列表中获得一份奖励。,"Ngelungelo ngalinye lokuvota, ungathola umvuzo owodwa ohlwini lwemiklomelo yokuvota."
,
,
,
,
,
,
您可以在活动页面将热门神话龙选择券兑换为300龙里程。,Ungashintshanisa Ithikithi Elidumile Lokukhetha I-Mythic Dragon ekhasini lomcimbi nge-300 Dragon Mileage.
全球的,Umhlaba jikelele
我的服务器,Iseva yami
龙里程,I-Dragon Mileage
活动结束后，龙之里程将被重置。,I-Dragon mileage izosethwa kabusha ngemva kokuphela komcimbi.
排名结果,Umphumela wezinga
美国,I-united states
已收到完整,Kutholwe kuqediwe
每次召唤您可以获得 1 点龙里程。,Biza ukuthi ungazuza i-1 Dragon Mileage ngesamani ngayinye.
召唤活动,Biza Umcimbi
召唤包,Biza Iphakheji
即使你获得了神话龙，你的召唤数也不会被重置。,"Ngisho noma uthola i-Mythic Dragon, isibalo sakho samasamanisi ngeke sisethwe kabusha."
亚洲,E-Asia
欧洲,EYurophu
热门 5 种 ★6（神话）,Izinhlobo ezi-5 ezidumile ★6 (Mythic)
热门神话龙,Popular Mythic Dragon
人气龙精选门票,Ithikithi elidumile le-Mythic Dragon Selection
召唤人气神话龙,Ibiza I-Mythic Dragon of Popularity
召唤人气龙活动,Ibiza umcimbi we-Mythic Dragon of Popularity
召唤人气龙\\n纪念签到活动,Ibiza I-Mythic Dragon Yokuduma\\nUmcimbi Wokungena Wesikhumbuzo
人气龙召唤券,Ithikithi elidumile le-Mythic Dragon Summon
1+1\\n热门龙召唤券,1+1\\nIthikithi Elidumile Le-Mythic Dragon Summon
15+15\\n人气龙召唤券,15+15\\nIthikithi Elidumile Le-Mythic Dragon Summon
人气龙召唤券X15,I-Mythic Dragon Summon Ticket edumile X15
人气龙召唤券X1,Ithikithi elidumile le-Mythic Dragon Summon X1
4+4\\n热门龙召唤券,4+4\\nIthikithi Elidumile Le-Mythic Dragon Summon
热门龙召唤券 X4,I-Mythic Dragon Summon Ticket X4 edumile
50+50热门龙召唤券,50+50 Ithikithi Elidumile Le-Mythic Dragon Summon
人气龙召唤券X50,I-Mythic Dragon Summon Ticket X50 edumile
人气龙召唤套票,Iphakethe lethikithi le-Mythic Dragon Summon elidumile
1+1\\n热门龙召唤券,1+1\\nIthikithi Elidumile Le-Mythic Dragon Summon
15+15\\n人气龙召唤券,15+15\\nIthikithi Elidumile Le-Mythic Dragon Summon
人气龙召唤券\\nX1,Ithikithi elidumile le-Mythic Dragon Summon\\nX1
4+4\\n热门龙召唤券,4+4\\nIthikithi Elidumile Le-Mythic Dragon Summon
人气龙召唤券\\nX4,Ithikithi elidumile le-Mythic Dragon Summon\\nX4
50+50\\n人气龙召唤券,50+50\\nIthikithi Elidumile Le-Mythic Dragon Summon
人气龙召唤券\\nX50,Ithikithi elidumile le-Mythic Dragon Summon\\nX50
热门神话龙召唤率UP,Okudumile kwe-Mythic Dragon Summon Rate UP
热门神话龙召唤率UP 10倍,I-Mythic Dragon Summon Rate edumile UP izikhathi eziyi-10
日本,Japan
根据总排名人气龙投票结果举行召唤活动。,Umcimbi wamasamanisi uzobanjwa ngokusekelwe kumphumela wokuvota wezinga eliphezulu lokuduma.
韩国,Korea
,
可召唤 5 种热门神话龙的选择券,Ithikithi lokukhetha elingabiza izinhlobo ezi-5 zeDrako Elidumile Dragon
热门神话龙召唤里程,I-Mythical Dragon Summon Mileage edumile
人气龙召唤券\\nX15,Ithikithi elidumile le-Mythic Dragon Summon\\nX15
{1}！第一概率UP！,{1}! Amathuba okuqala UP!
※ 神话龙只出现在人气投票综合排名前1-5名的龙中。,※ I-Mythic Dragon ibonakala kuphela phakathi kwamadragoni aphezulu angu-1-5 ku-Vote Comprehensive Ranking ethandwayo.
热门龙精选券若30天内未使用，将从您的邮箱中删除。,Ithikithi Elidumile Lokukhetha I-Mythic Dragon lizosuswa ebhokisini lakho leposi uma lingasetshenziswa phakathi kwezinsuku ezingu-30.
您可以在{1}召唤中与{2}见面。,Ungahlangana {2} ku- {1} Summon.
热门龙\n精选门票,I-Mythic Dragon edumile \nIthikithi Lokukhetha
{1}代表{@item_name}。 \n你想与{@default}交换吗？,{1} kwe -{@item_name}. \nIngabe ufuna ukuyishintsha ngokuthi {@default}?
五种流行神话龙的概率是相等的。,Amathuba ohlobo ngalunye kweziyisihlanu zamadragoni enganekwane adumile ayalingana.
龙人气投票结果,Imiphumela Yevoti Elidumile Dragon Yasenganekwaneni
,
骰子套餐,Iphakheji yedayisi
每对目标施加一次有害效果，【远古萨满教】的威力就会增加40%，最高可达200​​%。,"Amandla [e-Ancient Shamanism] akhuphuka ngo-40% kumphumela ngamunye oyingozi osetshenziswa kokuhlosiwe, aze afike ku-200%."
它是一条长久以来守护着传统萨满教的龙。由于频繁的外部入侵，它们的数量减少了，但剩下的那些仍在坚持不懈地保护自然。它们属于最古老的龙族之一，被认为是龙族中萨满教和自然力量的大师。,"Iwudrako osehlale isikhathi eside eqapha ubushamani bendabuko. Izinombolo zabo zehlile ngenxa yokuhlasela kwangaphandle njalo, kodwa labo abasalayo bayaphikelela futhi baphilela ukuvikela imvelo. Bangamalungu eqembu lama-dragons aphakathi kwamadala kakhulu, futhi abhekwa njengezingcweti ze-shamanism namandla emvelo phakathi kwama-dragons."
每隔一定时间，随机攻击一名敌人，对目标造成攻击力降低、防御力降低、攻击速度降低、持续伤害等不良效果。这些有害效果会一一应用{1}次，每次持续{2}秒。,"Ngaso sonke isikhathi esithile, ihlasela isitha ngokungahleliwe futhi ilethe imiphumela eyingozi njengamandla okuhlasela ancishisiwe, amandla okuvikela ancishisiwe, isivinini esincishisiwe sokuhlasela, kanye nomonakalo oqhubekayo kulokho okuqondiwe. Le miphumela eyingozi isetshenziswa ngayinye ngayinye izikhathi ezingu- {1} kanye nemizuzwana engu- {2} ngayinye."
诅咒的由来,Umsuka wesiqalekiso
症状恶化,ukuwohloka kwezimpawu
古代萨满教,I-Shamanism yasendulo
古代萨满教+,I-Shamanism+ yasendulo
对目标施加的每一种有害效果，[古代萨满教]的力量都会增加 40%（最高 200%）。\n你还会获得 2 点法力值。,Amandla [e-Ancient Shamanism] akhuphuka ngo-40% ohlotsheni ngalunye lomthelela olimazayo osetshenziswa kokuhlosiwe (kufika ku-200%).\nFuthi uzuza mana angu-2.
看来我可以和你很好地沟通。,Kubonakala sengathi ngiyakwazi ukuxhumana nawe kahle.
我为你的幸福祈祷。,Ngithandazela inhlalakahle yakho.
顺应道理而已。,Ukuzivumelanisa nokucabanga nje.
别想得太难。,Ungacabangi kanzima kakhulu.
老年也是生活的一部分。,ukuguga nakho kuyingxenye yokuphila.
你能感受到大自然的愤怒吗？,Uyaluzwa ulaka lukaMama Wendalo?
为了平息大自然的愤怒......,Ukuqeda ulaka lukaMama Wendalo...
跟随大自然母亲才能看到道路。,OkaMama Wendalo kufanele alandele ukuze abone indlela.
对大自然的神秘感到敬畏！”,"Yesaba imfihlakalo yoMama Wendalo!"""
冥想是很好的练习方法之一。,Ukuzindla kungenye yezindlela ezinhle zokuzijwayeza.
一切都可以从大自然中找到答案。,Konke kungatholakala ngempendulo emvelweni.
抛开所有的忧虑，努力集中注意力。,Lahla zonke izinkathazo zakho bese uzama ukugxila.
一切萨满教的起源是自然。,Isiqalo sabo bonke ubushamanism yimvelo.
激活率提高 24%,Izinga Lokuqalisa linyuke ngo-24%
生与死只是自然的支柱。,Ukuphila nokufa kumane kuyizinsika zemvelo.
大自然的眷顾。,ukuhlinzekelwa kwemvelo.
符号是一种轻松思考的手段。,Izimpawu ziyindlela yokucabanga kalula.
你要相信世界的循环。,Kufanele ukholelwe ekusakazweni komhlaba.
一种顺从的方式。,indlela yokuvumelana.
还是没有经验。,namanje angikabi nalwazi.
随时欢迎。,"Noma kunini, wamukelekile."
这也是大自然的馈赠。,Nalokhu kuyisipho esivela emvelweni.
不理解并接受。,Ungakuqondi futhi ukwamukele.
你知道这是什么吗？,Uyazi ukuthi kuyini lokhu?
别恨自己！,Ungazizondi!
当流动灵活且不间断时，就会产生流动。,Ukugeleza kudaleka uma kuvumelana nezimo ngaphandle kokuphazamiseka.
卡内德,Kaned
坎内德（土）,Kaned (Umhlaba)
\n {1} X {2},\n {1} X {2}
突袭小队{1},Iphathi ye-Raid {1}
是与邪恶之力签订契约，从死亡中复活的魔龙。据说它燃烧鳞片是为了变得更强。头上戴的骨头充当面具，上面有烧伤的疤痕。每当它借用邪恶之力时，它的身体就会燃烧，鳞片也会被烧焦。,"Udrako wedemoni owenza isivumelwano namandla obubi ukuthi avuswe ekufeni. Kuthiwa yashisa izikali zayo ifuna ukuqina. Amathambo agqokwe ekhanda layo asebenza njengesifihla-buso futhi anezibazi zokusha. Njalo lapho iboleka amandla obubi, umzimba wayo uyasha, nezikali zayo ziyacwila."
七级威力符文套装（子选项确认）,I-Grade 7 Ingase I-Rune Set (Ukuqinisekiswa Kwenketho Engaphansi)
7级坚固符文套装（子选项确认）,I-Grade 7 Solidity Rune Set (Ukuqinisekiswa kwe-Sub Option)
七级决断符文套装（子选项确认）,I-Grade 7 Determination Rune Set (Ukuqinisekiswa kwe-Sub Option)
7级机会符文套装（子选项确认）,I-Grade 7 Chance Rune Set (Ukuqinisekiswa kwe-Sub Option)
7 级符文\n获胜机会,Grade 7 Rune\nIthuba lokuwina
七级符文套装券（上古/下古选项确认）,Ithikithi Le-Rune Set Yebanga lesi-7 (Isiqiniseko Senketho Yasendulo/Engaphansi)
你也想拥有一个吗？这是一款酸酸甜甜的马卡龙！,"Uyafuna ukuba nayo, nawe? Imacaroon enambitheka emnandi futhi emuncu!"
如果我能和你在一起，我什至不需要杏仁饼。我真心的！,"Uma ngingaba nawe, angiwadingi ngisho ama-macaroon. Ngiqonde ngempela!"
马卡龙,I-Macaroon
马卡龙（火）,I-Macaroon (Umlilo)
这是一条来自喜爱马卡龙的女孩内心的甜点龙。马卡龙很轻，受空气影响，主要漂浮在空气中。它可以利用尾鳞的力量飞得更高或前进。它通常会散发出甜甜的气味，但当它受伤或生病时，就会发出臭味。,"Iwudrako owaziwa ngokuphuma enhliziyweni yentombazane ethanda ama-macaroon. I-Macaroon ilula kangangokuthi ithintwa umoya kangangokuthi intanta kakhulu emoyeni. Ingandizela phezulu noma iye phambili isebenzisa amandla ezikali zomsila. Ngokuvamile likhipha iphunga elimnandi, kodwa liyanuka lapho lilimele noma ligula."
美味的马卡龙！,Ama-macaroons amnandi!
美味的杏仁饼！+,Ama-macaroon amnandi!+
美味的马卡龙！对于没有受到 DOT 伤害效果的目标，有{1} % 的概率造成 DOT 伤害效果，持续{2}秒。,Ama-macaroons amnandi! kubangela umonakalo we-DOT imizuzwana engu- {2} ngamathuba angu- {1}% ethagethi engatholi umphumela wokulimala we-DOT.
爱上了甜，酸了。还有马卡龙！,"Wathandana noSweetness, ubumuncu. kanye ne-macaroon!"
向{1}敌人投掷杏仁饼以对其造成伤害，并立即恢复脆弱盟友{2}% 的生命力。,Phonsa ama-macaroon {1} ezitheni ukuze uzilimaze futhi ubuyisele ngokushesha {2}% wamandla abalulekile omngane wakho osengozini.
你有最喜欢的水果吗？我来准备风味杏仁饼！,Ingabe unaso isithelo osithandayo? Ngizolungisa lawo macaroons anongiwe!
7级符文套装券（普通/副选项确认）,Ithikithi le-Rune Set yeBanga lesi-7 (Isiqiniseko Senketho Okuvamile/engaphansi)
七品符文概率增幅！,Grade 7 Rune Ukwanda ematfuba!
七级冥想符文套装（子选项确认）,I-Grade 7 Meditation Rune Set (Isiqiniseko se-Sub Option)
七级逆袭符文套装（子选项确认）,I-Grade 7 Counterattack Rune Set (Isiqiniseko se-Sub Option)
七级生存符文套装（子选项确认）,I-Grade 7 Survival Rune Set (Isiqiniseko se-Sub Option)
七级怨气符文套装（子选项确认）,I-Grade 7 Grudge Rune Set (Ukuqinisekiswa kwe-Sub Option)
7级生命符文套装（子选项确认）,I-Grade 7 HP Rune Set (ukuqinisekiswa kwe-Sub Option)
7级迅捷符文套装（子选项确认）,I-Grade 7 Swift Rune Set (Ukuqinisekiswa kwe-Sub Option)
7级伤害符文套装（子选项确认）,I-Grade 7 Damage Rune Set (Isiqiniseko se-Sub Option)
七级生命吸收符文套装（子选项确认）,I-Grade 7 HP Absorption Rune Set (Isiqiniseko se-Sub Option)
古代{1},Yasendulo {1}
远古符文里程,I-Ancient Rune Mileage
远古符文套装可以让你选择想要的套装并获得7级符文选择券，这保证了额外的子选项。,"Isethi ye-Ancient Rune ikuvumela ukuthi ukhethe isethi oyifunayo bese uthola ithikithi lokukhetha i-rune yebanga lesi-7, eliqinisekisa Izinketho Ezincane ezengeziwe."
当你抽取符文10次\n你可以选择一套七级符文！,Uma udweba ama-runes izikhathi ezingu-10\ungakhetha isethi yokugijima yebanga lesi-7!
符文分数,Isikolo se-Rune
查看符文分数,Buka i-Rune Score
符文上限里程,I-Rune Ceiling Mileage
符文天花板抽奖盒,Ibhokisi Lokudweba I-Rune Ceiling
在符文上限抽签中，总是获取子选项的值。 （但是，子选项的值是随机的）,"Emdwebeni we-Rune Ceiling, inani lezinketho ezingaphansi lihlala litholakala. (Kodwa-ke, inani lezinketho ezincane alihleliwe)"
符文券,Ithikithi le-Rune
大师区在赛季开始后 4 天{@default} }{@yellow} 。,I- Mphathi Zone ivuliwe {@yellow} izinsuku ezingu-4 {@default} ngemva kokuqala kwesizini.
子选项100%确认收购！,Izinketho ezingaphansi 100% eziqinisekisiwe ukutholwa!
普通符文里程,I-Rune Mileage Okuvamile
普通符文套装可以让你选择想要的符文套装并获得七级符文选择券，这保证了额外的选择。,"Isethi evamile ye-rune ikuvumela ukuthi ukhethe isethi oyifunayo futhi uthole ithikithi lokukhetha i-rune yebanga lesi-7, eliqinisekisa izinketho ezengeziwe."
不要看装备的符文,Ungabheki i-Rune ehlomile
天花板画,Umdwebo wesilingi
以龙之名！,Egameni likadrako!
地牢征服石,Itshe lokuthobisa umgodi
地下城讨伐石 x1,Itshe lokuthobisa umgodi x1
激活{1} x 速度模式,Yenza kusebenze {1} x imodi yesivinini
你能检查一下它们是否值钱吗？,Ungakwazi yini ukuhlola ukuze ubone ukuthi afaneleka yini?
征服,Ukuzithoba
{1}征服结果,{1} Imiphumela Yokuzithoba
可以降服！,Ingabe ukuzithoba!
征服..,Ukuzithoba..
征服,Ukuzithoba
{@ORANGE}[{1}]{@} \n \n\n清除后即可使用。,{@ORANGE}[{1}]{@} \n \n\nIzotholakala ngemva kokusulwa.
一次最多可以征服地下城 200 次。,Ukwehliswa kwejele kungenzeka izikhathi ezingafika ku-200 ngesikhathi esisodwa.
您可以跳过战斗并立即在地下城中查看结果。,Ungeqa ukulwa futhi uhlole ngokushesha imiphumela eDungeon.
新征讨开启！,Ukuzithoba Okusha Kuvuliwe!
{@ORANGE}[{1}]{@}通关后即可使用。,{@ORANGE}[{1}]{@}Izotholakala ngemva kokusulwa.
获得的资源将显示为总计（部分项目除外）。,Izinsiza ezitholiwe zizoboniswa njengengqikithi (ezinye izinto azihlukile).
用最古老的魔法的力量攻击敌人。伤害会根据攻击的有效性显着增加，并且有{2}% 的几率将目标上的所有有害效果传播到{1}个其他敌人。,Ihlasela isitha ngamandla obuthakathi obudala kakhulu. Umonakalo ukhula kakhulu kuye ekusebenzeni kokuhlasela futhi kunethuba elingu- {2}% lokusabalalisa yonke imiphumela eyingozi kokuhlosiwe kuya {1} kwezinye izitha.
使用【黑暗的证据X10000,Sebenzisa [Ubufakazi Bobumnyama X10000
使用【黑暗的证据X1000,Sebenzisa [Ubufakazi Bobumnyama X1000
使用【黑暗的证据X20000】,Sebenzisa [Ubufakazi Bobumnyama X20000
